;case:concept:name;time:timestamp;concept:name;customers;nn1;nn2;products;age;bankaccount;cost;price;producer;weight;EID
0;990001;2019-05-20 09:07:47;place order;Marco Pegoraro;;;;50.0;91248.0;;524.96;;3.52;1.0
1;990001;2019-05-20 11:13:54;confirm order;Marco Pegoraro;;;;50.0;91248.0;;524.96;;3.52;4.0
2;990001;2019-05-20 11:20:13;pick item;Marco Pegoraro;880002.0;;Fire Stick 4K;50.0;91248.0;146.0;89.99;A;0.28;5.0
3;990001;2019-05-20 13:54:37;item out of stock;Marco Pegoraro;880004.0;;Echo Studio;50.0;91248.0;340.0;199.99;A;1.48;8.0
4;990001;2019-05-21 10:03:49;reorder item;Marco Pegoraro;880004.0;;Echo Studio;50.0;91248.0;340.0;199.99;A;1.48;26.0
5;990001;2019-05-23 10:40:50;item out of stock;Marco Pegoraro;880001.0;;Echo Show 8;50.0;91248.0;173.0;129.99;B;0.98;116.0
6;990001;2019-05-23 11:00:25;pick item;Marco Pegoraro;880003.0;;Echo;50.0;91248.0;378.0;99.99;A;0.78;120.0
7;990001;2019-05-23 11:27:55;pay order;Marco Pegoraro;;;;50.0;91248.0;;524.96;;3.52;125.0
8;990001;2019-05-23 17:26:26;create package;Marco Pegoraro;;660002.0;;50.0;91248.0;;3688.97;;4.273;160.0
9;990001;2019-05-23 17:43:12;send package;Marco Pegoraro;;660002.0;;50.0;91248.0;;3688.97;;4.273;161.0
10;990001;2019-05-24 15:54:44;package delivered;Marco Pegoraro;;660002.0;;50.0;91248.0;;3688.97;;4.273;206.0
11;990001;2019-05-27 17:54:52;reorder item;Marco Pegoraro;880001.0;;Echo Show 8;50.0;91248.0;173.0;129.99;B;0.98;287.0
12;990001;2019-06-04 15:20:53;pick item;Marco Pegoraro;880001.0;;Echo Show 8;50.0;91248.0;173.0;129.99;B;0.98;751.0
13;990001;2019-06-06 16:20:03;create package;Marco Pegoraro;;660049.0;;50.0;91248.0;;12164.96;;11.283;957.0
14;990001;2019-06-07 10:00:10;send package;Marco Pegoraro;;660049.0;;50.0;91248.0;;12164.96;;11.283;988.0
