;case:concept:name;time:timestamp;concept:name;customers;age;bankaccount;price;weight;EID
0;660001;2019-05-23 11:00:25;create package;Gyunam Park;55.0;27275.0;8169.95;7.211;121.0
1;660001;2019-05-23 14:22:59;send package;Gyunam Park;55.0;27275.0;8169.95;7.211;140.0
2;660001;2019-05-23 14:48:41;failed delivery;Gyunam Park;55.0;27275.0;8169.95;7.211;142.0
3;660001;2019-05-23 19:14:00;package delivered;Gyunam Park;55.0;27275.0;8169.95;7.211;164.0
4;660002;2019-05-23 17:26:26;create package;Marco Pegoraro;50.0;91248.0;3688.97;4.273;160.0
5;660002;2019-05-23 17:43:12;send package;Marco Pegoraro;50.0;91248.0;3688.97;4.273;161.0
6;660002;2019-05-24 15:54:44;package delivered;Marco Pegoraro;50.0;91248.0;3688.97;4.273;206.0
7;660003;2019-05-24 10:49:32;create package;Junxiong Gao;52.0;96270.0;3148.95;7.401;178.0
8;660003;2019-05-27 10:40:13;send package;Junxiong Gao;52.0;96270.0;3148.95;7.401;246.0
9;660003;2019-05-27 14:56:21;failed delivery;Junxiong Gao;52.0;96270.0;3148.95;7.401;269.0
10;660003;2019-05-28 12:42:06;package delivered;Junxiong Gao;52.0;96270.0;3148.95;7.401;324.0
11;660004;2019-05-24 15:49:44;create package;Majid Rafiei;46.0;74370.0;4659.96;4.755;204.0
12;660004;2019-05-27 09:50:01;send package;Majid Rafiei;46.0;74370.0;4659.96;4.755;238.0
13;660004;2019-05-27 12:39:25;package delivered;Majid Rafiei;46.0;74370.0;4659.96;4.755;259.0
14;660005;2019-05-25 01:00:00;create package;Christina Rensinghof;41.0;17020.0;1982.97;2.325;227.0
15;660005;2019-05-27 20:29:32;send package;Christina Rensinghof;41.0;17020.0;1982.97;2.325;291.0
16;660005;2019-05-29 09:50:36;package delivered;Christina Rensinghof;41.0;17020.0;1982.97;2.325;378.0
17;660006;2019-05-27 11:49:13;create package;Wil van der Aalst;34.0;48846.0;3784.96;4.785;254.0
18;660006;2019-05-28 12:29:53;send package;Wil van der Aalst;34.0;48846.0;3784.96;4.785;323.0
19;660006;2019-05-28 15:50:34;package delivered;Wil van der Aalst;34.0;48846.0;3784.96;4.785;342.0
20;660007;2019-05-27 15:11:01;create package;Luis Santos;48.0;37644.0;3454.99;2.345;272.0
21;660007;2019-05-28 11:03:28;send package;Luis Santos;48.0;37644.0;3454.99;2.345;310.0
22;660007;2019-05-28 20:08:20;package delivered;Luis Santos;48.0;37644.0;3454.99;2.345;368.0
23;660008;2019-05-27 16:26:44;create package;Christine Dobbert;43.0;59702.0;4143.94;5.968999999999999;279.0
24;660008;2019-05-27 18:57:39;send package;Christine Dobbert;43.0;59702.0;4143.94;5.968999999999999;289.0
25;660008;2019-05-28 17:52:39;package delivered;Christine Dobbert;43.0;59702.0;4143.94;5.968999999999999;365.0
26;660009;2019-05-28 09:49:33;create package;Seran Uysal;40.0;69940.0;6770.0;4.026;302.0
27;660009;2019-05-28 16:20:29;send package;Seran Uysal;40.0;69940.0;6770.0;4.026;349.0
28;660009;2019-05-29 12:01:39;package delivered;Seran Uysal;40.0;69940.0;6770.0;4.026;400.0
29;660010;2019-05-28 11:12:33;create package;Tobias Brockhoff;30.0;69038.0;4522.97;5.445;312.0
30;660010;2019-05-28 15:57:57;send package;Tobias Brockhoff;30.0;69038.0;4522.97;5.445;343.0
31;660010;2019-05-29 09:08:16;package delivered;Tobias Brockhoff;30.0;69038.0;4522.97;5.445;373.0
32;660011;2019-05-28 14:22:11;create package;Anahita Farhang Ghahfarokhi;58.0;42513.0;2451.98;3.405;332.0
33;660011;2019-05-28 16:01:33;send package;Anahita Farhang Ghahfarokhi;58.0;42513.0;2451.98;3.405;345.0
34;660011;2019-05-29 09:58:19;package delivered;Anahita Farhang Ghahfarokhi;58.0;42513.0;2451.98;3.405;380.0
35;660012;2019-05-28 16:07:01;create package;Kefang Ding;38.0;76896.0;4649.97;4.74;348.0
36;660012;2019-05-29 16:16:17;send package;Kefang Ding;38.0;76896.0;4649.97;4.74;435.0
37;660012;2019-05-29 20:01:33;package delivered;Kefang Ding;38.0;76896.0;4649.97;4.74;456.0
38;660013;2019-05-28 17:21:54;create package;Gyunam Park;55.0;27275.0;4691.95;6.3420000000000005;360.0
39;660013;2019-05-29 14:30:00;send package;Gyunam Park;55.0;27275.0;4691.95;6.3420000000000005;416.0
40;660013;2019-05-29 16:14:22;package delivered;Gyunam Park;55.0;27275.0;4691.95;6.3420000000000005;430.0
41;660014;2019-05-29 11:18:17;create package;Mohammadreza Fani Sani;51.0;61801.0;3828.98;3.616;394.0
42;660014;2019-05-29 19:29:05;send package;Mohammadreza Fani Sani;51.0;61801.0;3828.98;3.616;453.0
43;660014;2019-05-30 10:34:44;package delivered;Mohammadreza Fani Sani;51.0;61801.0;3828.98;3.616;477.0
44;660015;2019-05-29 13:59:21;create package;Marco Pegoraro;50.0;91248.0;229.98;1.76;410.0
45;660015;2019-05-29 19:08:32;send package;Marco Pegoraro;50.0;91248.0;229.98;1.76;451.0
46;660015;2019-05-30 14:50:42;package delivered;Marco Pegoraro;50.0;91248.0;229.98;1.76;510.0
47;660016;2019-05-29 15:38:06;create package;Junxiong Gao;52.0;96270.0;1387.98;1.136;422.0
48;660016;2019-05-30 10:10:22;send package;Junxiong Gao;52.0;96270.0;1387.98;1.136;473.0
49;660016;2019-05-30 12:02:46;package delivered;Junxiong Gao;52.0;96270.0;1387.98;1.136;486.0
50;660017;2019-05-29 16:14:37;create package;Majid Rafiei;46.0;74370.0;1174.98;1.413;434.0
51;660017;2019-05-30 10:19:45;send package;Majid Rafiei;46.0;74370.0;1174.98;1.413;476.0
52;660017;2019-05-31 11:00:07;package delivered;Majid Rafiei;46.0;74370.0;1174.98;1.413;562.0
53;660018;2019-05-29 17:38:50;create package;Mahnaz Qafari;40.0;83924.0;888.99;0.446;444.0
54;660018;2019-05-30 13:17:32;send package;Mahnaz Qafari;40.0;83924.0;888.99;0.446;500.0
55;660018;2019-05-30 15:42:57;package delivered;Mahnaz Qafari;40.0;83924.0;888.99;0.446;515.0
56;660019;2019-05-29 18:01:12;create package;Claudia Graf;54.0;29653.0;3315.97;3.064;449.0
57;660019;2019-05-29 19:32:41;send package;Claudia Graf;54.0;29653.0;3315.97;3.064;454.0
58;660019;2019-05-30 13:16:22;failed delivery;Claudia Graf;54.0;29653.0;3315.97;3.064;499.0
59;660019;2019-05-30 16:23:46;package delivered;Claudia Graf;54.0;29653.0;3315.97;3.064;522.0
60;660020;2019-05-30 01:00:00;create package;Christina Rensinghof;41.0;17020.0;5193.97;3.613;462.0
61;660020;2019-05-30 14:38:24;send package;Christina Rensinghof;41.0;17020.0;5193.97;3.613;508.0
62;660020;2019-05-30 16:34:12;failed delivery;Christina Rensinghof;41.0;17020.0;5193.97;3.613;525.0
63;660020;2019-05-31 10:30:10;failed delivery;Christina Rensinghof;41.0;17020.0;5193.97;3.613;557.0
64;660020;2019-05-31 14:58:13;failed delivery;Christina Rensinghof;41.0;17020.0;5193.97;3.613;585.0
65;660020;2019-05-31 16:18:19;package delivered;Christina Rensinghof;41.0;17020.0;5193.97;3.613;594.0
